ID,"CubeId;""rendopar"""
1,"PublishingDate;""2018-04-03 14:30"""
2,
3,"Date;""d0"";""Value"""
175,"1988-02-11;""b3"";"
176,"1988-02-11;""t1"";"
177,"1988-02-11;""t2"";"
178,"1988-02-12;""b0"";"
179,"1988-02-12;""b1"";"
180,"1988-02-12;""b2"";"
181,"1988-02-12;""b3"";"
182,"1988-02-12;""t1"";"
183,"1988-02-12;""t2"";"
184,"1988-02-15;""b0"";""4.457"""
185,"1988-02-15;""b1"";""-3.71"""
186,"1988-02-15;""b2"";""-6.447"""
187,"1988-02-15;""b3"";""7.398"""
188,"1988-02-15;""t1"";""0.683"""
189,"1988-02-15;""t2"";""0.388"""
190,"1988-02-16;""b0"";"
191,"1988-02-16;""b1"";"
192,"1988-02-16;""b2"";"
193,"1988-02-16;""b3"";"
194,"1988-02-16;""t1"";"
195,"1988-02-16;""t2"";"
196,"1988-02-17;""b0"";"
197,"1988-02-17;""b1"";"
198,"1988-02-17;""b2"";"
199,"1988-02-17;""b3"";"
200,"1988-02-17;""t1"";"
201,"1988-02-17;""t2"";"
202,"1988-02-18;""b0"";"
203,"1988-02-18;""b1"";"
204,"1988-02-18;""b2"";"
205,"1988-02-18;""b3"";"
206,"1988-02-18;""t1"";"
207,"1988-02-18;""t2"";"
208,"1988-02-19;""b0"";"
209,"1988-02-19;""b1"";"
210,"1988-02-19;""b2"";"
211,"1988-02-19;""b3"";"
212,"1988-02-19;""t1"";"
213,"1988-02-19;""t2"";"
214,"1988-02-22;""b0"";""4.57"""
215,"1988-02-22;""b1"";""-3.575"""
216,"1988-02-22;""b2"";""-6.412"""
217,"1988-02-22;""b3"";""9.89"""
218,"1988-02-22;""t1"";""1.616"""
219,"1988-02-22;""t2"";""1.019"""
220,"1988-02-23;""b0"";"
221,"1988-02-23;""b1"";"
222,"1988-02-23;""b2"";"
223,"1988-02-23;""b3"";"
224,"1988-02-23;""t1"";"
225,"1988-02-23;""t2"";"
226,"1988-02-24;""b0"";"
227,"1988-02-24;""b1"";"
228,"1988-02-24;""b2"";"
229,"1988-02-24;""b3"";"
230,"1988-02-24;""t1"";"
231,"1988-02-24;""t2"";"
232,"1988-02-25;""b0"";"
233,"1988-02-25;""b1"";"
234,"1988-02-25;""b2"";"
235,"1988-02-25;""b3"";"
236,"1988-02-25;""t1"";"
237,"1988-02-25;""t2"";"
238,"1988-02-26;""b0"";"
239,"1988-02-26;""b1"";"
240,"1988-02-26;""b2"";"
241,"1988-02-26;""b3"";"
242,"1988-02-26;""t1"";"
243,"1988-02-26;""t2"";"
244,"1988-02-29;""b0"";""4.465"""
245,"1988-02-29;""b1"";""-3.904"""
246,"1988-02-29;""b2"";""-0.021"""
247,"1988-02-29;""b3"";""3.544"""
248,"1988-02-29;""t1"";""1.466"""
249,"1988-02-29;""t2"";""0.357"""
250,"1988-03-01;""b0"";"
251,"1988-03-01;""b1"";"
252,"1988-03-01;""b2"";"
253,"1988-03-01;""b3"";"
254,"1988-03-01;""t1"";"
255,"1988-03-01;""t2"";"
256,"1988-03-02;""b0"";"
257,"1988-03-02;""b1"";"
258,"1988-03-02;""b2"";"
259,"1988-03-02;""b3"";"
260,"1988-03-02;""t1"";"
261,"1988-03-02;""t2"";"
262,"1988-03-03;""b0"";"
263,"1988-03-03;""b1"";"
264,"1988-03-03;""b2"";"
265,"1988-03-03;""b3"";"
266,"1988-03-03;""t1"";"
267,"1988-03-03;""t2"";"
268,"1988-03-04;""b0"";"
269,"1988-03-04;""b1"";"
270,"1988-03-04;""b2"";"
271,"1988-03-04;""b3"";"
272,"1988-03-04;""t1"";"
273,"1988-03-04;""t2"";"
274,"1988-03-07;""b0"";""4.364"""
