"","M3m","M6m","M9m","M12m","M18m","M24m","M36m","M48m","M60m","M72m","M84m","M96m","M108m","M120m","M144m","M180m","M240m"
"317",0.000641419790398665,0.000885789906292147,0.000867434468641131,0.00069703721283482,0.000187941644865837,-0.000272030718796761,-0.000556302174308435,1.68349517238731e-05,0.00114128951069872,0.00251609881512825,0.00394043908649694,0.00530254096692826,0.00655027055338027,0.00766652391982219,0.00951943924864528,0.0115374860530917,0.0136450009019238
"318",0.000538359932337274,0.00085336164669709,0.000954845060236946,0.000918307736930616,0.000641902140722721,0.000315927461629486,7.99434293215384e-06,0.000336076231051525,0.00117035357650161,0.00230005613308159,0.00355182393211641,0.00481028457638095,0.00600866639187689,0.007113975818451,0.00901010222663294,0.0111474059654413,0.0134333853438146
"319",0.000705238213702051,0.00104974762344752,0.00114916837330284,0.00109046847340008,0.000739678302614795,0.000328464088758667,-0.000128113481690233,8.75122209452228e-05,0.000823089834959043,0.00184876803112332,0.00298358471461716,0.00411279673471214,0.00517410499165985,0.00613983312055924,0.00776656824151955,0.00955788121922835,0.0114364022117295
"320",0.00062356017251669,0.000881328274488863,0.000899868071750503,0.000780756349937108,0.000383706223540261,6.43328177723779e-06,-0.00029493567521424,1.94904060902235e-05,0.000734625763168038,0.00164541305193582,0.00261561600686351,0.00356681549462567,0.00445883277227541,0.00527448738522263,0.00666694609817222,0.00823803829801116,0.00992921146554093
"321",0.000414644241224106,0.000621343575741093,0.000649021795650357,0.000564475547596623,0.000243243422546671,-9.0127407894689e-05,-0.000387120604523625,-7.81022971637335e-05,0.000686046220172969,0.00170066645587209,0.00280634962423884,0.00390165111399681,0.00493098527886939,0.00586931556109639,0.00745595406063922,0.00921346612052127,0.0110664426207936
"322",0.000500419420936066,0.000631073926014671,0.000548723620671659,0.000361349435071205,-8.14570417612637e-05,-0.00041749894666554,-0.000530633102368304,-2.91304339694418e-05,0.00081964110359004,0.00181488902313109,0.00283621236612512,0.0038185865821369,0.00473061266697779,0.00556025883789643,0.0069725994839167,0.00856618961588106,0.010285955272898
"323",0.000521718503916016,0.000483362181791114,0.000171561044587633,-0.000218596535008168,-0.000911806470902964,-0.00133632976338911,-0.00145159183283929,-0.000954942801476016,-0.000164059045813188,0.000741380877137424,0.00166304089523146,0.00254876858118322,0.00337305142937634,0.00412574340219274,0.00541514220889147,0.00688367880065571,0.00848372648059274
"324",0.000172470450891277,1.01500918779585e-05,-0.000416650387746172,-0.000942948589429196,-0.00193517441199413,-0.00259492045290515,-0.00280731278241004,-0.00205390260012437,-0.000921252716814861,0.00025722474708733,0.00133752796693365,0.00227565286899752,0.00307202555115155,0.00374336704068482,0.00479105174805948,0.00586595979294428,0.00694985798035373
"325",-0.00787895999449622,-0.00734390574898952,-0.00707192524364844,-0.00696273465485143,-0.00697459625856834,-0.00704814744475239,-0.00691820977555963,-0.0063258223661313,-0.00542941140751489,-0.00440368539002449,-0.00336603695823939,-0.00238140054399026,-0.00147970191106663,-0.000670319750795619,0.000683280988476808,0.00217561424893472,0.00375273932877763
"326",-0.00852755783278997,-0.00859540581037924,-0.00860644382371369,-0.00856767504985214,-0.00836535040910473,-0.00803176895095648,-0.00710400586236658,-0.0059890504682755,-0.00481574383245326,-0.00366210515797526,-0.00257255140063208,-0.001569676459091,-0.000662242267556971,0.000149455355815067,0.00150668758816624,0.00299684819241658,0.00452760326167271
"327",-0.00740622583719003,-0.00711814487175187,-0.00721876912765126,-0.00745473921218776,-0.00787481222061669,-0.00798263955282947,-0.00733464214036395,-0.00610403289808947,-0.00475742076631579,-0.00350012793162228,-0.00239932663421953,-0.00146192763010004,-0.000671953230502416,-7.07519433415182e-06,0.00103212056831167,0.00210226331321608,0.0031843802766078
"328",-0.008050594669247,-0.00823584213157381,-0.00832336338130122,-0.00832854153169824,-0.00814360209385019,-0.00776810914632506,-0.00668923434943157,-0.00543387572115528,-0.00418131301406402,-0.00301770706813406,-0.00197739938614763,-0.0010671011942973,-0.000279803998843696,0.000397423143397659,0.00147982826813673,0.00261416768278036,0.00376164034787273
"329",-0.00811240152809199,-0.00827967748932581,-0.0083811961782668,-0.00842462984741973,-0.00836433736721848,-0.00814666436681969,-0.00738758992327181,-0.00637769906173143,-0.00526490829941618,-0.00414126040633028,-0.00306134951291591,-0.00205505224768788,-0.00113625973969973,-0.000308812855661518,0.00108434332307032,0.00262369993911158,0.00420769263681463
"330",-0.00846461893351967,-0.00874978233514686,-0.00894030210429448,-0.00904731478640377,-0.00905008108772174,-0.00882731906471129,-0.00791910372606672,-0.00665332227371332,-0.00524079119508022,-0.0038115268983399,-0.00244175558439117,-0.00117247793630234,-2.21275748941685e-05,0.0010048818318389,0.00270907577218659,0.00454214717111056,0.00634705957328299
"331",-0.00803611074690517,-0.0081423957117988,-0.00820424796216523,-0.0082257656721267,-0.00816270919732456,-0.00798035857120521,-0.00734724965257326,-0.00647398169656871,-0.0054666670405883,-0.00440035692699845,-0.00332696762771365,-0.00228131814414299,-0.00128571137404566,-0.000353394484974237,0.00129871686065961,0.00325145520895718,0.00537727397740697
"332",-0.00783613070728537,-0.00787286468398916,-0.00788260448623338,-0.00786750252444961,-0.00777072519867146,-0.00759722193982155,-0.00707001963836156,-0.00637091947903785,-0.00556459201647204,-0.00469966958329299,-0.00381220307393041,-0.00292842458623025,-0.00206694949985114,-0.0012405265819307,0.000277475100481004,0.00217814648623111,0.00441853727977775
"333",-0.00817020704288308,-0.00822433096257288,-0.00824756352382052,-0.00824235817522938,-0.00815569124069548,-0.00798105028798896,-0.00742466409542189,-0.00666974169682809,-0.00578958954810189,-0.00483926352708556,-0.00385954700731599,-0.00288011796999107,-0.00192206396153183,-0.000999873424753335,0.000702865062633116,0.0028558307275604,0.005445095658611
"334",-0.00809172264020659,-0.00834049228923358,-0.00854068497040288,-0.00869614366043937,-0.00888698825168849,-0.00893900504561272,-0.00871413993476682,-0.00816927615243987,-0.00741523214549585,-0.006534293913382,-0.00558678760775057,-0.00461622389764981,-0.00365331353900159,-0.00271909230361106,-0.000986474981522494,0.00119956082315789,0.00379583885378707
