"","1M","2M","3M","6M","9M","1Y","2Y","3Y","4Y","5Y","7Y","10Y","12Y","15Y","20Y"
"42",0.0806,0.0806,0.0806,0.0806,0.08,0.0794,0.0749,0.072,0.07,0.0698,0.0684,0.0681,0.0658,0.0618,0.0556
"43",0.0794,0.08,0.08,0.08,0.0794,0.0788,0.075,0.0722,0.0703,0.0699,0.0684,0.0679,0.0657,0.0621,0.0563
"44",0.0781,0.0788,0.0794,0.08,0.0794,0.0788,0.0764,0.074,0.073,0.072,0.0708,0.0706,0.0692,0.0668,0.0631
"45",0.0813,0.0809,0.0806,0.08,0.0794,0.0788,0.0767,0.0743,0.0734,0.0724,0.0709,0.0707,0.0687,0.0654,0.0601
"46",0.0827,0.0827,0.0831,0.0823,0.0813,0.0806,0.078,0.076,0.0746,0.0735,0.0716,0.071,0.0689,0.0652,0.0593
"47",0.0802,0.0838,0.0838,0.0838,0.0838,0.0838,0.0825,0.0796,0.0786,0.0776,0.0755,0.0748,0.0738,0.0721,0.0694
"48",0.0825,0.0825,0.0822,0.0813,0.0806,0.08,0.0787,0.0767,0.0756,0.0745,0.0742,0.0741,0.0725,0.0698,0.0656
"49",0.0813,0.0819,0.0819,0.0819,0.0806,0.08,0.0789,0.0767,0.0753,0.0742,0.0739,0.0739,0.0725,0.0702,0.0665
"50",0.075,0.075,0.075,0.0745,0.0744,0.0738,0.0721,0.0701,0.0691,0.0681,0.0681,0.0681,0.0668,0.0646,0.0611
"51",0.0788,0.0786,0.0786,0.0775,0.0758,0.075,0.073,0.0712,0.0703,0.0695,0.0695,0.0695,0.0677,0.0648,0.0602
"52",0.0894,0.0889,0.0888,0.0869,0.0841,0.0831,0.0797,0.0772,0.0756,0.0746,0.0729,0.0726,0.0695,0.0641,0.0557
"53",0.09,0.0894,0.0889,0.0873,0.085,0.0844,0.0802,0.0771,0.0749,0.0739,0.0724,0.0722,0.0689,0.0632,0.0543
"54",0.0969,0.0956,0.0947,0.0919,0.0905,0.0894,0.0837,0.0805,0.0779,0.0769,0.0761,0.076,0.0721,0.0655,0.055
"55",0.0938,0.0938,0.0931,0.0925,0.0913,0.09,0.0853,0.0813,0.0785,0.0773,0.0757,0.0754,0.072,0.0662,0.057
"56",0.085,0.0856,0.0856,0.0856,0.0853,0.085,0.0811,0.0773,0.0753,0.0741,0.0731,0.0731,0.0709,0.0672,0.0612
"57",0.0781,0.0781,0.0781,0.0778,0.0775,0.0775,0.0763,0.0748,0.0738,0.0728,0.0716,0.0715,0.0703,0.0682,0.0649
"58",0.068,0.0681,0.0681,0.0681,0.0672,0.0667,0.0634,0.0639,0.0645,0.0647,0.066,0.066,0.0656,0.065,0.064
"59",0.0639,0.065,0.0644,0.0633,0.0614,0.0606,0.058,0.0585,0.06,0.061,0.0627,0.0629,0.0627,0.0624,0.0619
"60",0.0706,0.0688,0.0673,0.0644,0.062,0.0613,0.0579,0.0589,0.06,0.0607,0.063,0.0633,0.062,0.0596,0.056
"61",0.0614,0.0606,0.06,0.0581,0.0563,0.0556,0.0535,0.0545,0.0555,0.056,0.0573,0.0577,0.057,0.0558,0.054
"62",0.0544,0.0544,0.0544,0.0536,0.0525,0.0517,0.0507,0.0515,0.0525,0.0535,0.0547,0.0557,0.0559,0.0564,0.057
"63",0.055,0.0545,0.0539,0.0517,0.05,0.0488,0.0453,0.045,0.045,0.046,0.0481,0.0502,0.0493,0.0478,0.0454
"64",0.0548,0.053,0.0522,0.0494,0.0478,0.0469,0.0442,0.0445,0.0455,0.0465,0.0485,0.0505,0.0497,0.0483,0.0462
"65",0.0527,0.0519,0.0513,0.0488,0.047,0.0459,0.045,0.0451,0.0463,0.0475,0.0492,0.0512,0.0509,0.0505,0.0497
"66",0.0525,0.0525,0.0519,0.0513,0.0494,0.0484,0.0475,0.0473,0.0478,0.0488,0.0501,0.0518,0.0517,0.0515,0.0511
"67",0.05,0.0494,0.0494,0.0475,0.0463,0.0455,0.0437,0.0438,0.0441,0.0449,0.0459,0.0479,0.0475,0.0469,0.0458
"68",0.0475,0.0475,0.0469,0.0458,0.045,0.0444,0.0439,0.0439,0.0442,0.0449,0.046,0.0478,0.0479,0.048,0.0481
"69",0.05,0.0488,0.0481,0.0463,0.045,0.0444,0.0428,0.0429,0.043,0.0432,0.044,0.046,0.0453,0.044,0.042
"70",0.0475,0.0469,0.0469,0.0444,0.0434,0.0422,0.0406,0.041,0.0416,0.0422,0.0435,0.0445,0.044,0.043,0.0415
"71",0.0463,0.0475,0.0461,0.0438,0.0419,0.0413,0.039,0.039,0.0391,0.0397,0.0417,0.0427,0.042,0.0409,0.0392
"72",0.047,0.0461,0.045,0.0425,0.0406,0.04,0.0384,0.0384,0.039,0.0397,0.0416,0.0431,0.0424,0.0411,0.0392
"73",0.0431,0.0419,0.0413,0.0394,0.0381,0.0375,0.0365,0.0365,0.0377,0.039,0.0414,0.043,0.043,0.0429,0.0429
"74",0.0425,0.0413,0.0406,0.0394,0.0381,0.0375,0.0368,0.0368,0.038,0.0391,0.0412,0.0432,0.0433,0.0436,0.0439
"75",0.0425,0.0419,0.0413,0.0406,0.04,0.04,0.0415,0.0428,0.0439,0.0449,0.0461,0.0477,0.0487,0.0503,0.0529
"76",0.0425,0.0419,0.0419,0.0413,0.0406,0.0406,0.0423,0.0443,0.0451,0.0463,0.0481,0.0493,0.0505,0.0527,0.0561
"77",0.0395,0.0395,0.04,0.04,0.04,0.04,0.0425,0.0447,0.0467,0.0489,0.0509,0.0523,0.0546,0.0587,0.0651
"78",0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0485,0.05,0.0515,0.0527,0.055,0.0563,0.0586,0.0626,0.0689
"79",0.0431,0.0431,0.0431,0.0444,0.0456,0.0466,0.0519,0.0538,0.0549,0.056,0.0572,0.0582,0.061,0.0657,0.0733
"80",0.0428,0.0434,0.0438,0.045,0.0456,0.0463,0.05,0.051,0.0521,0.0531,0.0541,0.0554,0.0577,0.0617,0.068
"81",0.0416,0.0422,0.0428,0.0447,0.0464,0.0477,0.0526,0.0537,0.0547,0.0557,0.0571,0.0588,0.062,0.0674,0.076
"82",0.0394,0.0406,0.0419,0.0438,0.0456,0.0475,0.0526,0.0545,0.0555,0.0565,0.0577,0.0589,0.0625,0.0687,0.0784
"83",0.0375,0.04,0.0406,0.0419,0.0444,0.0463,0.0516,0.0543,0.0554,0.0564,0.0573,0.0586,0.0625,0.0692,0.0797
"84",0.0388,0.0394,0.04,0.0425,0.0438,0.0456,0.0501,0.0518,0.0532,0.054,0.0552,0.0567,0.06,0.0657,0.0747
"85",0.0398,0.0413,0.043,0.045,0.0467,0.048,0.0518,0.0531,0.0541,0.0551,0.0566,0.0578,0.0611,0.0668,0.0758
"86",0.0375,0.0388,0.0397,0.042,0.0439,0.0452,0.0493,0.051,0.0526,0.0536,0.0549,0.0565,0.06,0.066,0.0755
"87",0.0363,0.0375,0.0386,0.0406,0.0431,0.0444,0.0487,0.0507,0.0522,0.0532,0.0548,0.0563,0.06,0.0663,0.0764
"88",0.035,0.035,0.035,0.0356,0.0363,0.0369,0.0396,0.0429,0.0467,0.0488,0.0515,0.0535,0.0569,0.0628,0.072
"89",0.0344,0.0347,0.035,0.0356,0.0363,0.0369,0.0408,0.0434,0.0457,0.0476,0.0499,0.0522,0.0555,0.0611,0.07
"90",0.0327,0.0327,0.0331,0.0334,0.0344,0.035,0.0393,0.0428,0.0448,0.046,0.0481,0.0508,0.0541,0.0599,0.0689
"91",0.0309,0.0313,0.0316,0.0322,0.0331,0.0339,0.0387,0.0428,0.0456,0.047,0.0491,0.0521,0.056,0.0627,0.0733
"92",0.0263,0.0269,0.0272,0.0292,0.03,0.0306,0.0355,0.0395,0.0426,0.0445,0.0474,0.0504,0.0548,0.0625,0.0746
"93",0.0288,0.0288,0.0288,0.0288,0.0294,0.0294,0.0342,0.0373,0.0404,0.0423,0.046,0.0492,0.0529,0.0594,0.0697
"94",0.0242,0.0244,0.0245,0.0245,0.0245,0.0245,0.029,0.0331,0.0367,0.0396,0.044,0.0479,0.0522,0.0597,0.0716
"95",0.0198,0.0209,0.0206,0.0206,0.0213,0.0213,0.0242,0.0301,0.0337,0.0368,0.0409,0.0444,0.0489,0.0567,0.069
"96",0.0233,0.022,0.0214,0.0206,0.02,0.02,0.0229,0.0283,0.0325,0.0355,0.0392,0.0429,0.0465,0.0527,0.0625
"97",0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0217,0.0275,0.0329,0.0362,0.0401,0.0436,0.0483,0.0563,0.0691
"98",0.0172,0.0175,0.0175,0.018,0.0181,0.0188,0.0241,0.0291,0.033,0.0368,0.0417,0.046,0.0513,0.0604,0.0748
"99",0.0164,0.0169,0.0169,0.0175,0.0188,0.0194,0.0251,0.0311,0.035,0.038,0.0427,0.0461,0.0515,0.0609,0.0758
"100",0.0177,0.0181,0.0181,0.0181,0.0188,0.0194,0.0247,0.0296,0.0335,0.0369,0.0419,0.0459,0.0511,0.06,0.0741
"101",0.0188,0.0188,0.0188,0.0188,0.0194,0.02,0.0253,0.0303,0.034,0.0372,0.042,0.046,0.051,0.0596,0.0733
"102",0.0269,0.0263,0.0263,0.0264,0.0269,0.0275,0.0331,0.0372,0.0397,0.0424,0.046,0.0495,0.0536,0.0608,0.0721
"103",0.0252,0.0256,0.0263,0.0263,0.0275,0.0281,0.0321,0.0359,0.0387,0.0414,0.0454,0.0489,0.0533,0.0608,0.0726
"104",0.0238,0.0244,0.025,0.0259,0.0269,0.0275,0.0313,0.035,0.0379,0.0406,0.044,0.0474,0.0517,0.0592,0.0711
"105",0.0213,0.0214,0.022,0.0226,0.0234,0.0241,0.0288,0.033,0.0361,0.0387,0.0425,0.0463,0.0509,0.0588,0.0714
"106",0.0139,0.0144,0.015,0.0158,0.017,0.0177,0.0221,0.0272,0.0315,0.0349,0.0395,0.0435,0.0489,0.0583,0.0731
"107",0.0173,0.0188,0.0188,0.0193,0.0199,0.0205,0.0255,0.0285,0.0312,0.0339,0.0389,0.0432,0.048,0.0562,0.0691
"108",0.0218,0.0213,0.0209,0.0208,0.0213,0.0219,0.026,0.0292,0.0324,0.0351,0.0392,0.0431,0.047,0.0538,0.0644
"109",0.0181,0.0188,0.0188,0.0188,0.0193,0.0194,0.0227,0.0262,0.0294,0.0327,0.0378,0.0421,0.0465,0.0541,0.0661
"110",0.0169,0.0172,0.0172,0.0175,0.0181,0.0188,0.0221,0.0254,0.0284,0.0312,0.0355,0.0397,0.0439,0.0511,0.0625
"111",0.0175,0.0175,0.0175,0.0175,0.0175,0.0178,0.0199,0.0229,0.0257,0.0281,0.0323,0.0367,0.0402,0.0463,0.0559
"112",0.0188,0.0188,0.0188,0.0188,0.0193,0.0194,0.0222,0.0252,0.0282,0.0312,0.0358,0.0404,0.0444,0.0512,0.0621
"113",0.0172,0.0177,0.0181,0.0188,0.019,0.0194,0.0211,0.024,0.027,0.0296,0.0343,0.0387,0.0426,0.0495,0.0602
"114",0.0088,0.01,0.0106,0.012,0.01,0.0136,0.0177,0.0217,0.0251,0.0283,0.0331,0.0377,0.043,0.0522,0.0666
"115",0.0148,0.015,0.015,0.0161,0.0163,0.017,0.0201,0.0229,0.0258,0.0284,0.0332,0.0376,0.0418,0.049,0.0604
"116",0.0153,0.0153,0.0154,0.0163,0.017,0.0175,0.0201,0.023,0.0258,0.0285,0.0332,0.0377,0.0418,0.0489,0.0601
"117",0.0125,0.0131,0.0138,0.016,0.017,0.0181,0.0217,0.0249,0.0275,0.0302,0.0347,0.0391,0.044,0.0524,0.0657
"118",0.0139,0.0144,0.0159,0.0167,0.018,0.0191,0.023,0.026,0.0285,0.0306,0.0347,0.0387,0.0433,0.0511,0.0635
"119",0.0172,0.0194,0.0196,0.0204,0.0215,0.0225,0.0259,0.0284,0.0308,0.033,0.0368,0.0406,0.0449,0.0523,0.064
"120",0.0177,0.0182,0.0185,0.0191,0.0197,0.0202,0.0231,0.0262,0.0291,0.0316,0.0358,0.0396,0.0436,0.0506,0.0615
"121",0.0125,0.0139,0.015,0.0163,0.0175,0.0182,0.0217,0.0247,0.0275,0.0299,0.0338,0.0376,0.0422,0.0502,0.0627
"122",0.0116,0.0122,0.0128,0.0141,0.015,0.0156,0.0185,0.0213,0.0238,0.0261,0.03,0.0339,0.038,0.0451,0.0562
"123",0.0086,0.0091,0.0097,0.0109,0.0119,0.0127,0.0161,0.0191,0.0219,0.0244,0.0284,0.033,0.0375,0.0452,0.0574
"124",0.0146,0.0149,0.0154,0.0163,0.0171,0.0181,0.0207,0.023,0.0253,0.0272,0.0304,0.0341,0.0377,0.0439,0.0536
"125",0.0149,0.015,0.0154,0.0166,0.0177,0.0186,0.0215,0.0243,0.0265,0.0285,0.0317,0.0351,0.0388,0.0452,0.0553
"126",0.0169,0.0169,0.0169,0.0175,0.0182,0.0188,0.0211,0.0235,0.0256,0.0277,0.031,0.0347,0.038,0.0436,0.0525
"127",0.0209,0.0209,0.021,0.0213,0.0218,0.022,0.0238,0.026,0.028,0.03,0.0335,0.0372,0.0402,0.0453,0.0535
"128",0.0188,0.0194,0.0197,0.0206,0.0214,0.022,0.0247,0.0269,0.0289,0.0307,0.0338,0.0371,0.0405,0.0463,0.0555
"129",0.0154,0.0155,0.0157,0.0166,0.017,0.0175,0.0206,0.0232,0.0256,0.0277,0.0314,0.0352,0.0388,0.0451,0.055
"130",0.0125,0.0131,0.0145,0.0151,0.0154,0.0157,0.0173,0.0198,0.0222,0.0243,0.0283,0.033,0.0368,0.0432,0.0535
"131",0.0108,0.0131,0.0132,0.0134,0.014,0.0147,0.0175,0.0202,0.0228,0.0251,0.0293,0.0345,0.037,0.0394,0.0419
"132",0.0179,0.0172,0.0171,0.0171,0.0172,0.0175,0.0188,0.0207,0.0226,0.0243,0.0276,0.0322,0.0346,0.037,0.0394
"133",0.0125,0.0132,0.0141,0.0157,0.0164,0.0171,0.0235,0.0216,0.0254,0.0289,0.0306,0.0362,0.0362,0.0388,0.041
"134",0.0118,0.0121,0.0125,0.0134,0.0141,0.0149,0.0178,0.0201,0.022,0.0237,0.027,0.0315,0.0339,0.0364,0.0389
"135",0.0126,0.0127,0.0128,0.0133,0.0138,0.0146,0.018,0.0204,0.0224,0.0243,0.0277,0.0321,0.0344,0.0369,0.0395
"136",0.0119,0.0121,0.0123,0.0127,0.0137,0.0141,0.0167,0.0192,0.0215,0.0236,0.0276,0.0326,0.035,0.0376,0.0401
"137",0.0096,0.0098,0.0099,0.0104,0.0114,0.0119,0.0149,0.0177,0.0201,0.0222,0.0261,0.031,0.0334,0.036,0.0384
"138",0.01,0.0101,0.0103,0.0108,0.0121,0.0127,0.017,0.0198,0.0221,0.0243,0.0282,0.033,0.0354,0.038,0.0406
"139",0.0115,0.0116,0.0119,0.0147,0.0153,0.016,0.022,0.0252,0.0276,0.0297,0.033,0.0369,0.039,0.0414,0.044
"140",0.0105,0.011,0.0115,0.0155,0.0162,0.0171,0.0229,0.0263,0.0288,0.0308,0.034,0.0376,0.0395,0.0415,0.0435
"141",0.0095,0.0102,0.0107,0.016,0.0168,0.0178,0.0234,0.0269,0.0295,0.0315,0.0349,0.0384,0.0399,0.0414,0.0429
"142",0.0128,0.0135,0.02,0.0195,0.0204,0.0217,0.0285,0.0315,0.033,0.0342,0.0367,0.0398,0.0414,0.0429,0.0445
"143",0.0119,0.0208,0.0205,0.0211,0.0228,0.0242,0.0309,0.0339,0.0357,0.037,0.0391,0.0413,0.0425,0.0439,0.0451
"144",0.0204,0.0186,0.0186,0.0189,0.0207,0.0225,0.0293,0.0322,0.0337,0.0349,0.0372,0.0401,0.0414,0.0428,0.0441
"145",0.0159,0.0176,0.0185,0.0195,0.021,0.0221,0.0277,0.0304,0.0321,0.0336,0.0367,0.0405,0.042,0.0434,0.0446
"146",0.0209,0.021,0.0213,0.0228,0.0245,0.0265,0.0312,0.0335,0.0348,0.0357,0.0375,0.0401,0.0413,0.0424,0.0434
"147",0.0214,0.023,0.024,0.0267,0.0289,0.0308,0.0347,0.0361,0.0369,0.0377,0.0395,0.042,0.043,0.044,0.0447
"148",0.0265,0.0276,0.029,0.0311,0.0335,0.0347,0.0383,0.0397,0.0408,0.0419,0.044,0.0465,0.0475,0.0485,0.0492
"149",0.031,0.0318,0.0324,0.0343,0.0362,0.0373,0.0404,0.0414,0.0421,0.0426,0.0439,0.0457,0.0465,0.0474,0.0482
"150",0.0278,0.0301,0.0316,0.0347,0.0372,0.0386,0.042,0.0431,0.0437,0.0442,0.0453,0.0468,0.0475,0.0482,0.0488
"151",0.0323,0.0331,0.0341,0.0365,0.0375,0.0386,0.041,0.0418,0.0423,0.0428,0.0439,0.0454,0.0461,0.0468,0.0474
"152",0.0321,0.0334,0.0344,0.0376,0.0387,0.0397,0.0416,0.0419,0.0422,0.0424,0.0432,0.0442,0.0447,0.0453,0.046
"153",0.032,0.0333,0.0342,0.0365,0.0373,0.038,0.0393,0.0397,0.0401,0.0404,0.0414,0.0427,0.0434,0.0439,0.0445
"154",0.0326,0.0335,0.0357,0.0361,0.0368,0.0373,0.0383,0.0388,0.0394,0.04,0.0412,0.0427,0.0434,0.0441,0.0447
"155",0.0322,0.0348,0.035,0.0358,0.0364,0.0369,0.0379,0.0384,0.039,0.0396,0.0409,0.0426,0.0433,0.044,0.0447
"156",0.0344,0.0345,0.0346,0.0353,0.0357,0.036,0.0367,0.0372,0.0378,0.0384,0.0396,0.0412,0.0419,0.0426,0.0433
"157",0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0339,0.0343,0.0349,0.0355,0.0369,0.039,0.04,0.041,0.0419
"158",0.0345,0.0343,0.034,0.0331,0.0328,0.0327,0.0336,0.0339,0.0343,0.0348,0.0363,0.0384,0.0395,0.0406,0.0417
"159",0.0344,0.0343,0.0342,0.0334,0.0329,0.0327,0.0328,0.0331,0.0335,0.0341,0.0356,0.0376,0.0387,0.04,0.0414
"160",0.0336,0.0332,0.0331,0.0317,0.0308,0.0305,0.0303,0.0308,0.0314,0.0322,0.0339,0.0361,0.0373,0.0388,0.0403
"161",0.0318,0.0318,0.0318,0.0318,0.0319,0.0319,0.033,0.0335,0.0341,0.0348,0.0364,0.0384,0.0395,0.041,0.0426
"162",0.0327,0.0322,0.0319,0.0317,0.0318,0.0318,0.0329,0.0335,0.034,0.0345,0.0359,0.0381,0.0392,0.0406,0.0422
"163",0.0329,0.0326,0.0324,0.0318,0.0315,0.0314,0.0323,0.0329,0.0335,0.034,0.0354,0.0373,0.0384,0.0398,0.0415
"164",0.0326,0.0322,0.0319,0.0313,0.0306,0.0304,0.0313,0.0321,0.0328,0.0335,0.035,0.0371,0.0382,0.0395,0.0411
"165",0.0329,0.0319,0.0312,0.0296,0.0287,0.0283,0.0289,0.03,0.0311,0.0321,0.0342,0.0368,0.0381,0.0394,0.0411
"166",0.0225,0.0225,0.0229,0.0228,0.0228,0.0231,0.0261,0.0283,0.0301,0.0316,0.0339,0.0366,0.038,0.0394,0.0409
"167",0.0214,0.021,0.0207,0.0194,0.0189,0.0188,0.0209,0.0235,0.0255,0.0271,0.0295,0.0321,0.0333,0.0345,0.0357
"168",0.0207,0.0199,0.0197,0.0194,0.0198,0.0205,0.0249,0.0279,0.0297,0.031,0.0331,0.0355,0.0366,0.0379,0.0389
"169",0.0179,0.0182,0.0184,0.0185,0.0191,0.02,0.027,0.0308,0.0329,0.0344,0.0365,0.0388,0.0399,0.0411,0.0421
"170",0.016,0.0163,0.0168,0.0179,0.0191,0.021,0.0273,0.0306,0.0327,0.0341,0.0362,0.0383,0.0393,0.0403,0.0412
"171",0.0171,0.0173,0.0175,0.0185,0.0197,0.0214,0.0276,0.0306,0.0327,0.0342,0.0366,0.039,0.0401,0.0411,0.042
"172",0.0151,0.0155,0.0164,0.0175,0.0198,0.0219,0.0285,0.0316,0.0334,0.0347,0.0367,0.0388,0.0399,0.0409,0.0418
"173",0.0145,0.0147,0.015,0.016,0.0177,0.0197,0.0253,0.0316,0.0335,0.035,0.0346,0.0377,0.0388,0.04,0.0409
"174",0.0117,0.012,0.0123,0.014,0.0162,0.0183,0.0248,0.0278,0.0298,0.0314,0.034,0.0366,0.0378,0.0391,0.0402
"175",0.0116,0.0121,0.0123,0.0134,0.015,0.0169,0.0231,0.0262,0.0284,0.03,0.0325,0.0354,0.0366,0.0379,0.0391
"176",0.0075,0.0078,0.008,0.0086,0.0094,0.0106,0.0167,0.0209,0.0241,0.0265,0.0302,0.0337,0.035,0.0363,0.0373
"177",0.007,0.0072,0.0075,0.0081,0.0087,0.0098,0.0152,0.0199,0.0232,0.0256,0.0293,0.0329,0.0345,0.036,0.0372
"178",0.0071,0.0072,0.0073,0.0074,0.0075,0.008,0.013,0.017,0.0199,0.0222,0.0258,0.0294,0.031,0.0325,0.0339
"179",0.0067,0.0072,0.0074,0.0075,0.0079,0.0084,0.0126,0.0166,0.0196,0.022,0.0257,0.0293,0.0309,0.0326,0.0342
"180",0.0072,0.0073,0.0074,0.0076,0.0085,0.0094,0.0137,0.0171,0.0196,0.0217,0.025,0.0287,0.0303,0.0322,0.0341
