"","M3m","M6m","M9m","M12m","M18m","M24m","M36m","M48m","M60m","M72m","M84m","M96m","M108m","M120m","M144m","M180m","M240m"
"186",0.0028989492666128,0.00319744273179928,0.00359514873327485,0.00409161790547517,0.00590570730189263,0.00798370619286451,0.0116905151204885,0.0148163579156469,0.0174599854681391,0.019757226170028,0.0217964240140744,0.0236206363312027,0.0252502803827681,0.0266920350380016,0.0291114261568669,0.0320804120684756,0.0353142581176392
"187",0.0027990204574804,0.00329728049119898,0.00379459526663474,0.00419120461850857,0.00553027555854795,0.00728475176921124,0.0110924417007329,0.0145229604328523,0.0175785303208702,0.0200417950404489,0.0221241802159142,0.0240062402577281,0.0257147117024223,0.0272425812260406,0.0297793520904889,0.0326224145021325,0.0358644899891385
"188",0.0028989492597102,0.00379639456710402,0.0045920832040299,0.00558437829436294,0.00845502356445495,0.0112686586082236,0.0154754394397448,0.018907144982586,0.021760709515673,0.0241201371018946,0.0261084395430772,0.0278100601869671,0.0293180387183371,0.0307001980795054,0.0331452290555613,0.035773425202833,0.0390939426854543
"189",0.00269908916927956,0.00329728049569035,0.00399401197612465,0.00498754151328332,0.00793096700689242,0.010972776938515,0.0158844816137262,0.019621615295216,0.0225782622323598,0.0249100363331334,0.0268181774268227,0.0284356246598604,0.0298391413210665,0.0310734666940214,0.0331643740445579,0.0356771959254346,0.0387235998190355
"190",0.00239928027932448,0.00289789952594277,0.00339567235259151,0.00439034829916623,0.00682800033665229,0.00937949252337346,0.0141918765415274,0.0180308291706747,0.0210897674107609,0.0235307418008154,0.0255381132509185,0.0272293636761367,0.0286694123282905,0.0298931344331614,0.031857026088805,0.0342328681521406,0.0369792111760447
"191",0.00249921907103221,0.00309759997760845,0.00429308112025253,0.00538547227536265,0.00832217248889899,0.0112697889827664,0.0158791367587185,0.0196166170674732,0.0226775038330054,0.0251231105384624,0.0271312923837134,0.0288222167912082,0.030264678610551,0.031496687691772,0.033467172553249,0.0357282557504224,0.0386460385205072
"192",0.00269908915728417,0.00379639456489204,0.00538909443427044,0.00667765475262969,0.00994757718463581,0.0130565798165536,0.0174626232456617,0.0208942450455368,0.023645549123908,0.0259036995172484,0.0277858074491232,0.0293533436140072,0.0306820418794766,0.0318254912556574,0.0336852383361652,0.0357042927366043,0.0380811669865892
"193",0.0025991553669473,0.00349694106863648,0.00469173566570869,0.00578324475584891,0.00864322275000702,0.0113672466025235,0.0153727417430714,0.0189066631191645,0.0218639646661457,0.0243124929297627,0.0263173878309039,0.0279176297238791,0.0292287148786267,0.030343013046532,0.0321952862753322,0.0343292538660982,0.0366802266434572
"194",0.00249921907325138,0.00319744272635716,0.00399401197237271,0.0049875415105355,0.00729959626416108,0.009576183436529,0.0135834709728044,0.0171168506174646,0.0200721988531074,0.0225962854018732,0.0247330842385851,0.0264957215935895,0.0279624664941285,0.0291946529712551,0.0311550716768649,0.0333987772837436,0.0357228351390879
"195",0.00259915536246353,0.00299775224573031,0.00359514872917122,0.00448990527198957,0.00652002911391189,0.00858078198850699,0.0124882630767153,0.015919428844362,0.0188735189694538,0.0214930710159239,0.023742846268222,0.0255904883871398,0.0271239880842901,0.0284198388485278,0.0304923237867179,0.0327254435194423,0.0350370542473013
"196",0.00249921906635525,0.00299775224295415,0.00359514872729225,0.00458945233152994,0.00679270072830472,0.00887967617588541,0.0125858555190024,0.0160171349236918,0.0189714270728637,0.0214918981883012,0.0236286471786065,0.0254110483888497,0.0269146418509923,0.0281963692954474,0.0302701452561689,0.0326296625777486,0.035074503534224
"197",0.0026990891698035,0.00419559616925844,0.00608608866674509,0.00727348396897341,0.00983967361891255,0.0122554977075462,0.0158583361707589,0.0187817803228816,0.0212231225336633,0.023332045236285,0.025150034008356,0.0266869434685281,0.0279841166159336,0.029071004474096,0.0308079052466573,0.0330691161861918,0.0354102734882295
"198",0.00259915537051299,0.00449494508318564,0.00628516296973775,0.00796816965024335,0.0111743227503014,0.0138449621952999,0.017646799950908,0.0206716241778513,0.0231136709166055,0.0251813497600275,0.0269386242421151,0.0284072248719504,0.0296614120420348,0.0307600744023665,0.0326228077881853,0.034769617345754,0.0372772535266196
"199",0.00499687760633556,0.00738634367747809,0.00946631615508132,0.0110388471162793,0.0138365390385527,0.016210497665329,0.0197094397964995,0.022327936432134,0.0245663428005696,0.0264750292918682,0.0280810143082864,0.0294175537854709,0.030564058146564,0.031583256062918,0.033338690726554,0.0352499375135009,0.0375112350554768
"200",0.00529649184198007,0.00748597255448565,0.00896976099718632,0.0103462920526507,0.01269603862159,0.0147237746422729,0.0182249031746031,0.0210477033171944,0.0232848020102004,0.0251804120764466,0.0267957418581815,0.0281472753407139,0.0292960425598972,0.0302898426792836,0.0319215973717123,0.0337030195254081,0.0358179534317864
"201",0.00649472447662244,0.00738634368129222,0.00847302085467691,0.00955421280777993,0.0114051113011792,0.0131371737735851,0.0164391964939196,0.0191606163418927,0.0215005085131916,0.0235036382462473,0.0252190365811673,0.0266862888868129,0.027949179559779,0.0290361507292208,0.0307760754435874,0.032667535022401,0.0348933860190163
"202",0.00699388212666335,0.00798404253424996,0.00896976099606175,0.0100493358506532,0.0119593077680699,0.013631417425549,0.0165313641638394,0.0189485013476328,0.0208767588284614,0.0226499360863246,0.0242820022444022,0.0257314225699925,0.0270029830209876,0.0281018919397894,0.0298418418643947,0.0317325419268416,0.033953300575036
"203",0.0072933468368209,0.00798404253580158,0.00847302084852416,0.00905884448675583,0.010412671700592,0.01184626178658,0.0146475911799167,0.0170648843041141,0.0193011598539914,0.0213361863950158,0.0231214169893535,0.0246395042907363,0.0259332231302373,0.0270379154715919,0.0287698467602887,0.0305278653449723,0.0327375504174883
"204",0.00729334684985246,0.0084819885176565,0.00936701991772652,0.0101483310533319,0.011640371125372,0.0129342418262477,0.0150326240981646,0.0170455052508145,0.0188721480248175,0.0205363112432506,0.0220646654922562,0.0234594673136534,0.0247009210324946,0.0257664793633765,0.0273851800054044,0.0290265076220154,0.0308422269261955
"205",0.0071935277715856,0.00798404254210233,0.0089697610012408,0.0098513160518787,0.0117238887159716,0.0134337492779483,0.0160325633329523,0.0181454318107517,0.019971510328593,0.0216070121791192,0.0230597138883875,0.0243277982521913,0.0254449804656438,0.0264382454066764,0.0280624023077342,0.0295887145848943,0.0315513877378188
