"","1M","2M","3M","6M","9M","1Y","2Y","3Y","4Y","5Y","6Y","7Y","8Y","9Y","10Y","11Y","12Y","13Y","14Y","15Y","16Y","17Y","18Y","19Y","20Y"
"248",0.02244618882983,0.0251802985302983,0.0272259862535915,0.0285874568519125,0.0300441213483766,0.031498667059371,0.0303172931399809,0.031123517491294,0.031730747538495,0.0322406647815093,0.032757060975906,0.0332804589061749,0.0337016653049792,0.0341297945712817,0.0345650591476637,0.0350077767752654,0.0354583434377045,0.0357541946464291,0.0360566837798245,0.0363658429332122,0.0364117758634797,0.0364618982997643,0.0365157455917301,0.0365729616088255,0.036633272202351
"249",0.0222506089348197,0.0249852526939086,0.0270313390510305,0.0283930745012178,0.0297529581493478,0.0311109950250527,0.0285509130148495,0.0291629139784628,0.02977418248337,0.0303895835099727,0.0309585321993213,0.0315343546538694,0.0320632068415634,0.0325998539958592,0.0331448522125495,0.033640635189414,0.0341452258150149,0.0344766804220782,0.034815483827709,0.035161682011155,0.0352557257025868,0.0353546252433251,0.0354579672790639,0.0355654459268127,0.0356768372271977
"250",0.0279069532530079,0.0284902703996274,0.029364608629904,0.0301411569119868,0.0312079271241932,0.0323703800304506,0.0275487564953242,0.0282701589678323,0.029190077931675,0.0302188737992398,0.0309421136795737,0.0316748826754378,0.032235650885885,0.0328057100216507,0.03338543882624,0.0339364769659131,0.0344977878119626,0.0348663956644815,0.0352434963715081,0.0356291583388536,0.0356927791036608,0.0357616640585882,0.0358352475276119,0.03591309806496,0.0359948858058082
"251",0.0177416814761571,0.0251802985302983,0.0264471700148482,0.0280041964095973,0.0291703772997799,0.0300441213483766,0.0249214236774927,0.0264415370421878,0.0278640619402288,0.0290924422871771,0.0301775724049589,0.0312782323710746,0.0321581984698372,0.0330538224862596,0.0339662500537284,0.0346218856847581,0.0352921407205558,0.0355251717720306,0.0357675249343081,0.0360184694639706,0.0358410833348368,0.0356690642601258,0.035501238524766,0.0353366762510686,0.0351746306887434
"252",0.00866237307865259,0.0104452578615386,0.0123237496888319,0.0141001243787816,0.0151841353250401,0.016463726030665,0.0134882835378295,0.0153950213383078,0.0172103636943601,0.0188355987400527,0.0202694650239342,0.0217204876451059,0.0229041560333712,0.0241054115585867,0.0253261939273294,0.0262444871182656,0.0271799588081293,0.0276371957767108,0.0281054943685435,0.0285846248138945,0.0283800893127104,0.0281822682241589,0.027989831093501,0.0278017288349137,0.0276171236934127
"253",0.00339423306801562,0.00518652668730015,0.00657831536012251,0.00806737107775879,0.00955421280481171,0.0109399400383343,0.011039396076942,0.0145457781010121,0.0172680457722,0.0196071288389034,0.021295319871891,0.0230075513029359,0.0241137177176743,0.0252388602150656,0.0263840689301258,0.0271289376345758,0.0278892382163118,0.028187463977292,0.028495501105006,0.0288125888642205,0.0286620939912599,0.028517636400358,0.0283780497416337,0.0282424121143942,0.0281099850733891
"254",0.00319489089651929,0.00429078141715625,0.00528600442923744,0.00657831536012251,0.00806737107775879,0.00955421280481171,0.00875801915140987,0.0118633416508776,0.0146861242777733,0.0171254590543887,0.0189155153605191,0.0207291679191772,0.0219400855529791,0.0231702291310717,0.0244211992830006,0.0252185334272781,0.026031449791906,0.0264060218016146,0.026790780414067,0.0271851749377248,0.027083403551423,0.0269878146509117,0.0268972969660004,0.0268109719224412,0.0267281354747916
"255",0.00299550897979837,0.00389241471534385,0.00488803407277587,0.00637960696403899,0.00776973726436069,0.00935609492402503,0.00905749220168655,0.012363278332754,0.0154906000862642,0.0182392157634244,0.020185807005178,0.0221602616216265,0.0233703186917724,0.0246012852049548,0.0258545618415726,0.0265945941839428,0.0273504923585601,0.0277243636032364,0.0281091031434579,0.0285040985774133,0.0282985019474148,0.028099756985825,0.0279065116288415,0.0277176997650848,0.0275324700502251
"256",0.00229735904868346,0.00309520490730252,0.00399202126953746,0.00528600442923744,0.00687630393943206,0.00836491633162767,0.00756825082869087,0.0109743089996641,0.0143034162450969,0.0173591057284575,0.0194605670816314,0.0215922734522286,0.0227996104171131,0.0240279157835446,0.0252784539894865,0.0261311955157873,0.027001535947169,0.0273722643787806,0.0277541660461306,0.0281465470452524,0.0280640088334455,0.0279882515202691,0.0279181003305071,0.027852626850594,0.0277910874242272
"257",0.00209779808214612,0.00299550897979837,0.00399202126953746,0.00538547227633789,0.00697561373642514,0.00846407841212936,0.00836449987171188,0.0115698440410982,0.0144935900169667,0.0174468206786279,0.0194445213000563,0.0214703312959893,0.0226790975116853,0.0239083662383487,0.0251595143079594,0.0258984475809535,0.0266528985303193,0.0268287357458153,0.0270137515439491,0.0272067764451258,0.027431788619754,0.0276635719308635,0.0279017584785636,0.0281461071345466,0.0283964757502863
"258",0.00199800266267306,0.00299550897979837,0.00399202126953746,0.00528600442923744,0.00677698427902367,0.00836491633162767,0.00756825082869087,0.011174976429027,0.0151137095467268,0.0186868525288291,0.0212609862340203,0.0238777029245903,0.0253724531803939,0.0268968212668596,0.0284532950231516,0.0293596031561756,0.030288365440727,0.0307706151804426,0.0312684152143063,0.0317811192457,0.0319877078250569,0.0322046861623132,0.0324312359878449,0.0326667730417583,0.0329108937965812
"259",0.00189819728308027,0.00289580311202547,0.00399202126953746,0.00508703904855721,0.00647896609770907,0.00806737107775879,0.00826656774872928,0.0120740324250889,0.0158104733445855,0.0191781925029702,0.0214904107803131,0.0238397526523275,0.0251545075713513,0.0264948389811781,0.0278622883446316,0.0287726213297822,0.0297040896083087,0.0303121916066339,0.0309365874261892,0.0315772716131995,0.0318099523283014,0.0320531649065534,0.03230617408606,0.0325684711474585,0.0328397235814968
"260",0.00159872136369707,0.00259662584726591,0.00359353551013022,0.00468898948613147,0.0061808590750811,0.00767050630421974,0.00796936048119943,0.0114756591719219,0.0145005482171246,0.0172476022132267,0.0194542086517934,0.0216928033954633,0.0230448070538059,0.0244203099921933,0.025821350917512,0.0267879638158863,0.027775020601733,0.0284219123824158,0.029084509900102,0.0297630159320151,0.0300470626703541,0.0303414755615096,0.0306457060545389,0.0309594091942151,0.0312824008382323
